0	8.200000e+01	-3.49792e-02	
1	8.239000e+01	-2.42117e-02	
2	8.278000e+01	-1.34459e-02	
3	8.317000e+01	-2.68198e-03	
4	8.356000e+01	8.080170e-03	
5	8.395000e+01	1.884052e-02	
6	8.434000e+01	2.959908e-02	
7	8.473000e+01	4.035584e-02	
8	8.512000e+01	5.111081e-02	
9	8.551000e+01	6.186398e-02	
10	8.590000e+01	7.261536e-02	
11	8.629000e+01	8.336496e-02	
12	8.668000e+01	9.411276e-02	
13	8.707000e+01	1.048588e-01	
14	8.746000e+01	1.156030e-01	
15	8.785000e+01	1.263454e-01	
16	8.824000e+01	1.370860e-01	
17	8.863000e+01	1.478249e-01	
18	8.902000e+01	1.585620e-01	
19	8.941000e+01	1.692972e-01	
20	8.980000e+01	1.800307e-01	
21	9.019000e+01	1.907624e-01	
22	9.058000e+01	2.014923e-01	
23	9.097000e+01	2.122204e-01	
24	9.136000e+01	2.229468e-01	
25	9.175000e+01	2.336713e-01	
26	9.214000e+01	2.443941e-01	
27	9.253000e+01	2.551151e-01	
28	9.292000e+01	2.658343e-01	
29	9.331000e+01	2.765517e-01	
30	9.370000e+01	2.872673e-01	
31	9.409000e+01	2.979811e-01	
32	9.448000e+01	3.086932e-01	
33	9.487000e+01	3.194035e-01	
34	9.526000e+01	3.301120e-01	
35	9.565000e+01	3.408187e-01	
36	9.604000e+01	3.515236e-01	
37	9.643000e+01	3.622268e-01	
38	9.682000e+01	3.729281e-01	
39	9.721000e+01	3.836277e-01	
40	9.760000e+01	3.943256e-01	
41	9.799000e+01	4.050216e-01	
42	9.838000e+01	4.157159e-01	
43	9.877000e+01	4.264083e-01	
44	9.916000e+01	4.370990e-01	
45	9.955000e+01	4.477880e-01	
46	9.994000e+01	4.584751e-01	
47	1.003300e+02	4.691605e-01	
48	1.007200e+02	4.798441e-01	
49	1.011100e+02	4.905259e-01	
50	1.015000e+02	5.012060e-01	
51	1.018900e+02	5.118842e-01	
52	1.022800e+02	5.225607e-01	
53	1.026700e+02	5.332355e-01	
54	1.030600e+02	5.439084e-01	
55	1.034500e+02	5.545796e-01	
56	1.038400e+02	5.652490e-01	
57	1.042300e+02	5.759167e-01	
58	1.046200e+02	5.865825e-01	
59	1.050100e+02	5.972466e-01	
60	1.054000e+02	6.079089e-01	
61	1.057900e+02	6.185695e-01	
62	1.061800e+02	6.292283e-01	
63	1.065700e+02	6.398853e-01	
64	1.069600e+02	6.505406e-01	
65	1.073500e+02	6.611940e-01	
66	1.077400e+02	6.718457e-01	
67	1.081300e+02	6.824957e-01	
68	1.085200e+02	6.931439e-01	
69	1.089100e+02	7.037903e-01	
70	1.093000e+02	7.144349e-01	
71	1.096900e+02	7.250778e-01	
72	1.100800e+02	7.357189e-01	
73	1.104700e+02	7.463583e-01	
74	1.108600e+02	7.569959e-01	
75	1.112500e+02	7.676317e-01	
76	1.116400e+02	7.782658e-01	
77	1.120300e+02	7.888981e-01	
78	1.124200e+02	7.995286e-01	
79	1.128100e+02	8.101574e-01	
80	1.132000e+02	8.207844e-01	
81	1.135900e+02	8.314096e-01	
82	1.139800e+02	8.420331e-01	
83	1.143700e+02	8.526549e-01	
84	1.147600e+02	8.632748e-01	
85	1.151500e+02	8.738930e-01	
86	1.155400e+02	8.845095e-01	
87	1.159300e+02	8.951242e-01	
88	1.163200e+02	9.057371e-01	
89	1.167100e+02	9.163483e-01	
90	1.171000e+02	9.269577e-01	
91	1.174900e+02	9.375654e-01	
92	1.178800e+02	9.481713e-01	
93	1.182700e+02	9.587755e-01	
94	1.186600e+02	9.693779e-01	
95	1.190500e+02	9.799785e-01	
96	1.194400e+02	9.905774e-01	
97	1.198300e+02	1.001175e+00	
